,Country,Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
406,Egypt,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,2.135,1.32,-1.07,-6.768,-5.729,-5.762,-6.687,-7.355,-4.899,-6.049,-6.195,-7.447,-9.6,-10.005,-12.927,-11.286,-10.934,-12.47,-10.429,-9.41,-7.409,-7.676,-6.62
413,El Salvador,Unemployment rate,,,,,,,,,10.154,9.074,10,8.7,9.3,9.9,7.7,7.6,7.7,8.0,7.3,6.4,6.7,6.96,6.23,6.915,6.78,7.2,6.6,6.3,5.9,7.3,7.0,6.6,6.1,5.9,7.0,7.0,7.1,7.049,6.347,6.733,7.9,7.5
414,El Salvador,General government net lending/borrowing,,,,,,,,,,,-0.85,-3.089,-4.332,-1.174,-0.414,-0.183,-1.941,-0.921,-1.791,-3.35,-4.663,-4.365,-4.039,-4.627,-3.151,-3.456,-2.94,-2.182,-3.19,-6.515,-5.143,-4.673,-4.389,-4.064,-3.733,-3.514,-2.921,-2.392,-2.506,-2.919,-8.568,-4.576
418,Equatorial Guinea,"Gross domestic product per capita, constant prices",,-0.003,-5.027,-2.962,-6.043,6.359,-6.779,0.65,-0.446,-4.046,-0.516,-4.333,28.758,6.831,12.844,22.067,47.104,138.577,19.961,21.41,102.149,53.66,14.838,9.808,24.957,3.566,1.809,10.124,12.496,-3.193,-12.945,1.897,3.693,-8.127,-3.646,-12.664,-12.258,-9.105,-9.115,-9.286,-8.595,-0.989
420,Equatorial Guinea,"Inflation, end of period consumer prices",,16.7,38.256,60.058,59.518,61.34,-13.514,3.125,-0.337,-8.196,6.985,-0.069,2.82,-2.742,43.746,11.698,-0.003,3.727,6.587,1.124,6.616,12.181,6.2,5.863,5.095,3.163,3.807,3.737,5.47,4.997,5.429,4.919,2.564,4.866,2.575,1.603,2.0,-0.225,2.59,4.129,2.117,2.183
421,Equatorial Guinea,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Equatorial Guinea,Current account balance,,,,,,,,-21.822,-13.845,-20.02,-14.257,-30.899,-6.607,1.759,-0.319,-73.215,-124.557,-27.304,-90.323,-29.499,-30.391,-48.795,-53.927,-4.999,7.634,16.805,19.213,16.66,7.85,-9.732,-20.244,-5.675,-1.125,-2.397,-4.251,-16.435,-12.974,-5.816,-5.437,-5.808,-10.394,-6.984
424,Eritrea,"Gross domestic product, constant prices",,,,,,,,,,,,,,12.882,20.918,2.325,9.136,7.9,1.966,0.187,-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-19.436,12.179,10.853,25.71,1.886,-10.456,30.934,-20.621,7.391,-10.015,13.032,3.836,0.109,5.851
425,Eritrea,"Gross domestic product, current prices",,,,,,,,,,,,,1.737,2.008,2.479,2.59,2.878,3.159,3.258,3.311,2.967,3.297,3.45,3.421,3.564,3.77,3.846,4.006,3.29,3.719,4.17,5.352,5.558,5.064,6.753,5.416,5.877,5.388,6.238,6.591,6.64,7.165
426,Eritrea,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,13.054,20.76,1.519,7.478,5.59,-0.788,-2.963,-13.83,5.475,-0.034,-5.463,-1.407,-0.249,-3.629,-1.23,-21.493,9.39,8.17,22.752,-0.444,-12.444,28.116,-22.277,5.223,-11.77,10.903,1.95,-1.642,4.071
427,Eritrea,"Inflation, average consumer prices",,,,,,,,,,,,,,4.787,13.147,11.983,10.288,3.739,9.467,8.397,19.947,14.625,16.877,22.669,25.111,12.506,15.06,9.409,22.168,33.852,10.297,5.887,4.753,5.938,10.033,28.483,-5.577,-13.306,-14.401,-16.365,4.461,2.449
428,Eritrea,"Inflation, end of period consumer prices",,,,,,,,,,,,,,10.619,7.289,12.302,3.509,7.736,9.02,10.625,26.835,7.749,23.818,20.848,17.383,18.499,8.752,14.886,36.511,18.965,4.694,7.708,6.607,9.935,1.342,50.831,-22.039,-18.163,-29.278,27.205,4,2.0
429,Eritrea,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Eritrea,General government net lending/borrowing,,,,,,,,,,,,,6.853,4.224,8.69,-22.935,-18.403,-5.648,-40.349,-59.742,-36.482,-39.305,-34.052,-22.207,-21.461,-28.683,-18.188,-20.232,-31.605,-21.046,-17.694,-5.998,-5.585,-8.023,-0.364,-3.139,-1.657,-6.037,4.212,-1.477,-4.97,-4.529
431,Eritrea,Current account balance,,,,,,,,,,,,,,30.936,36.995,-4.687,-10.321,6.815,-26.641,-33.315,-21.079,-24.775,-0.07,-2.348,-0.869,0.432,-4.631,-7.897,-7.642,-11.366,-10.406,13.396,12.941,2.278,17.335,20.762,15.323,23.961,18.952,12.106,10.188,9.369
432,Estonia,"Gross domestic product, constant prices",,,,,,,,,,,,,,,-1.642,2.155,4.936,13.046,4.33,-0.403,10.106,5.98,6.802,7.567,6.767,9.49,9.719,7.574,-5.089,-14.434,2.69,7.444,3.125,1.346,2.987,1.845,2.632,5.749,4.761,4.334,-7.5,7.874
433,Estonia,"Gross domestic product, current prices",,,,,,,,,,,,,,10.987,11.037,11.512,12.301,14.146,14.924,15.079,16.974,18.383,19.944,21.852,23.959,27.05,30.577,33.776,32.681,28.177,29.272,32.108,33.746,34.801,36.504,37.564,38.952,41.967,45.036,47.807,44.503,48.943
434,Estonia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,0.645,4.193,6.496,14.344,5.337,-0.696,9.575,6.657,7.481,8.244,7.408,10.119,10.368,8.065,-4.834,-14.269,2.925,7.771,3.495,1.707,3.195,1.84,2.602,5.621,4.397,4.111,-7.547,7.845
435,Estonia,"Inflation, average consumer prices",,,,,,,,,,,,,,,47.656,29.003,19.742,9.311,8.782,3.098,3.932,5.626,3.588,1.387,3.038,4.117,4.444,6.745,10.606,0.199,2.741,5.08,4.219,3.247,0.476,0.068,0.8,3.651,3.412,2.268,1.5,2.0
436,Estonia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,28.871,12.939,10.967,5.124,3.669,5.036,4.208,2.703,1.19,4.799,3.663,5.101,9.734,7.536,-1.873,5.421,4.087,3.638,2.049,0.061,-0.171,2.353,3.76,3.319,1.795,1.5,2.0
437,Estonia,Unemployment rate,,,,,,,,,,,,,,6.526,7.546,9.645,9.881,9.65,9.831,12.275,14.598,13.009,11.227,10.342,10.14,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351,6.185,6.758,5.763,5.371,4.435,6,4.69
438,Estonia,General government net lending/borrowing,,,,,,,,,,,,,,,,-0.23,-0.907,3.011,0.676,-3.393,-0.087,0.179,0.401,1.793,2.371,1.115,2.897,2.693,-2.647,-2.172,0.185,1.147,-0.256,-0.169,0.681,0.069,-0.331,-0.38,-0.462,-0.396,-8.294,-3.028
439,Estonia,Current account balance,,,,,,,,,,,,,,1.18,-6.594,-4.045,-8.356,-10.918,-8.472,-4.263,-5.403,-7.095,-11.06,-12.865,-11.924,-8.683,-14.937,-14.862,-8.646,2.536,1.769,1.304,-1.883,0.29,0.711,1.761,1.656,2.673,1.984,1.745,-2.688,-1.913
444,Eswatini,"Inflation, end of period consumer prices",,14.41,11.538,10.626,18.65,18.211,8.895,16.253,17.849,8.642,10.985,9.556,8.567,13.199,13.815,10.134,5.763,7.553,7.822,5.111,9.098,10.784,11.486,4.657,3.226,7.6,4.799,9.808,12.904,4.501,4.5,7.763,8.265,4.419,6.169,4.91,8.682,4.706,5.251,1.974,3.876,5.0
445,Eswatini,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Ethiopia,"Inflation, end of period consumer prices",,5.43,5.23,-0.18,9.05,20.47,-11.82,-4.66,6.87,11.05,5.005,44.996,2.053,4.714,6.293,14.835,-8.999,2.6,2.3,7.084,-4.123,-4.3,14.002,6.233,7.852,12.32,18.519,18.424,39.245,7.138,14.564,35.919,15.0,7.652,7.114,9.377,6.152,16.504,10.581,19.515,10.24,8.02
453,Ethiopia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Fiji,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,1.194,2.163,2.406,2.914,8.128,0.169,3.0,2.291,1.588,4.19,3.317,2.7,5.2,4.278,6.563,6.843,3.597,6.353,2.548,3.427,0.081,1.581,3.931,2.814,4.876,1.9,1.2,1.5
461,Fiji,Unemployment rate,,,,,,,9.551,11.908,12.003,7.789,8.172,7.534,6.895,7.534,7.278,6.895,3.742,4.183,4.628,5.071,5.512,5.951,6.388,6.822,7.255,7.3,7.7,8.6,8.8,8.7,7.1,7.1,6.8,6.367,6.2,5.5,5.5,4.5,4.5,4.5,13.351,6.304
462,Fiji,General government net lending/borrowing,,,,,,,,,,,,,-2.808,-1.831,-0.191,0.768,-3.578,-4.634,5.139,1.059,-1.395,-4.416,-3.596,-3.381,-0.953,-1.127,-3.182,-1.619,0.463,-3.768,-2.005,-1.286,-1.319,-0.575,-3.982,-3.765,-1.302,-1.829,-5.515,-4.933,-10.6,-4.55
484,Gabon,"Inflation, end of period consumer prices",,,,,,,,,,,15.369,-16.715,-4.532,1.317,46.95,3.451,0.822,2.115,0.548,-0.949,1.795,0.935,0.421,3.521,-0.486,1.115,-0.673,-0.195,5.576,0.866,0.687,2.302,2.167,3.263,1.738,-1.151,4.071,1.057,6.253,1.021,3,3.0
485,Gabon,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Gabon,General government net lending/borrowing,,,,,,,,,,,-3.834,-2.031,-4.897,-5.354,-1.529,2.643,2.115,1.407,-13.113,1.114,11.132,4.067,3.724,7.752,6.993,7.977,8.672,8.062,10.994,6.77,2.699,1.743,6.204,-3.069,5.98,-1.117,-4.71,-1.699,-0.211,1.939,-2.701,-1.254
492,The Gambia,"Inflation, end of period consumer prices",,4.126,12.731,15.385,24.681,25.455,52.301,15.317,12.418,8.394,10.487,11.553,4.246,5.128,5.043,4.039,2.253,0.309,4.779,1.749,0.203,8.069,13.005,17.564,8.09,4.846,0.423,6.02,6.835,2.718,5.789,4.382,4.908,5.575,6.95,6.667,7.875,6.945,6.411,7.676,6.184,5.829
493,The Gambia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,The Gambia,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-0.091,-2.523,0.059,-1.732,-1.766,-3.332,-3.194,0.275,-0.454,-1.648,-2.928,-3.014,-2.823,-5.559,-3.937,-5.375,-6.397,-4.98,-6.197,-2.607,-2.368,-2.063
496,Georgia,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,2.6,10.5,10.519,3.105,2.869,1.838,4.805,5.474,11.058,5.794,9.59,9.42,12.579,2.419,-3.651,6.249,7.358,6.369,3.621,4.431,3.023,2.906,4.842,4.843,5.148,-3.999,3.0
497,Georgia,"Gross domestic product, current prices",,,,,,,,,,,,,,,7.968,8.347,9.392,10.559,11.01,11.489,11.962,12.812,13.727,15.528,16.87,19.063,21.49,24.843,25.939,25.183,27.068,29.667,32.162,33.911,36.07,37.547,39.038,41.699,44.784,47.91,46.286,48.605
498,Georgia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,-45.042,-27.692,-2.841,6.659,14.586,14.604,6.004,5.124,3.837,6.864,6.695,11.772,6.549,10.169,10.236,13.024,3.087,-3.182,7.066,8.104,7.345,4.203,4.474,2.884,2.722,4.904,4.753,5.32,-3.485,2.92
499,Georgia,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,7.161,3.564,19.144,3.988,4.719,5.607,4.762,5.656,8.247,9.161,9.245,9.999,1.728,7.111,8.543,-0.944,-0.512,3.069,4.004,2.135,6.035,2.615,4.853,4.641,3.693
500,Georgia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,7.053,10.824,11.04,4.398,3.48,5.487,6.886,7.483,6.179,8.778,10.975,5.548,2.986,11.241,2.041,-1.373,2.372,1.952,4.879,1.832,6.716,1.515,6.997,3.5,3.041
501,Georgia,Unemployment rate,,,,,,,,,,,,,,,,,12.715,7.551,12.381,12.628,10.346,11.148,13.5,12.7,13.9,15.1,15.4,17.4,17.9,18.3,17.4,17.3,17.2,16.9,14.6,14.1,14.0,13.9,12.7,11.6,,
502,Georgia,General government net lending/borrowing,,,,,,,,,,,,,,,,-4.888,-5.91,-6.632,-3.963,-4.703,-1.921,-0.707,-0.186,-0.548,3.592,2.145,3.284,0.809,-1.922,-6.365,-4.544,-0.827,-0.728,-1.272,-1.813,-1.184,-1.52,-0.484,-0.817,-1.816,-7.488,-3.409
503,Georgia,Current account balance,,,,,,,,,,,,,,,,-17.7,-12.166,-12.717,-12.451,-9.735,-5.62,-5.984,-6.284,-9.407,-6.764,-10.781,-14.775,-19.221,-21.393,-10.265,-9.766,-12.203,-11.44,-5.575,-10.152,-11.793,-12.45,-8.061,-6.768,-5.057,-10.468,-6.861
508,Germany,"Inflation, end of period consumer prices",,,,,,,,,,,,,3.3,4.2,2.5,1.5,1.457,1.445,0.13,1.423,2.041,1.375,0.986,1.099,2.174,2.128,1.389,3.082,0.997,0.877,1.848,2.241,2.192,1.328,0.202,0.201,1.707,1.481,1.751,1.53,0.203,1.34
510,Germany,General government net lending/borrowing,,,,,,,,,,,,-3.189,-2.605,-3.095,-2.524,-9.432,-3.57,-2.942,-2.567,-1.719,-1.585,-3.025,-3.875,-3.704,-3.334,-3.319,-1.653,0.261,-0.116,-3.151,-4.379,-0.881,0.009,0.04,0.58,0.943,1.184,1.242,1.867,1.449,-5.523,-1.193
516,Ghana,"Inflation, end of period consumer prices",,100.222,16.787,142.418,5.988,19.499,33.335,34.164,26.571,30.458,35.902,10.261,13.33,27.656,34.179,70.817,26.123,22.141,15.752,13.791,40.54,21.288,15.171,23.563,11.777,14.838,10.923,12.748,18.133,9.459,6.868,8.372,8.124,13.495,16.987,17.692,15.362,11.821,9.425,7.896,9.933,8.2
517,Ghana,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Grenada,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Grenada,General government net lending/borrowing,,,,,,,,,,,-7.777,-4.335,-1.457,-0.157,-2.846,-0.461,-3.019,-4.94,-2.394,-2.761,-2.506,-6.415,-14.467,-3.609,-1.019,0.516,-5.649,-6.352,-4.146,-5.228,-3.615,-5.175,-5.882,-7.25,-4.664,-1.194,2.302,3.014,4.581,4.945,-0.431,2.025
535,Grenada,Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.553,-12.507,-11.049,-14.435,-15.922,-15.788,-27.743,-18.025
541,Guatemala,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Guatemala,General government net lending/borrowing,,,,,,,,,,,,,,,,-0.528,0.037,-0.79,-2.291,-2.962,-1.877,-2.003,-1.032,-2.469,-1.048,-1.67,-1.879,-1.403,-1.57,-3.12,-3.277,-2.798,-2.416,-2.164,-1.921,-1.472,-1.128,-1.386,-1.891,-2.275,-4.444,-2.884
546,Guinea,"Gross domestic product per capita, constant prices",,,,,,,,,,,,-2.855,-2.593,-0.867,-1.23,0.364,1.138,2.624,1.674,2.078,0.801,1.919,3.416,-0.499,0.43,0.882,0.168,3.882,1.439,-4.127,1.509,2.912,3.235,1.333,1.135,1.281,8.125,7.647,3.591,3.068,0.41,4.985
548,Guinea,"Inflation, end of period consumer prices",,,,,,,,33.654,26.259,26.068,27.331,12.233,16.1,4.996,2.543,5.2,2.053,5.291,4.529,6.161,7.207,1.13,6.118,12.094,27.644,29.663,39.132,12.822,13.504,7.899,20.803,19.026,12.833,10.548,8.968,7.324,8.701,9.546,9.942,9.122,8.1,8.0
549,Guinea,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Guinea,General government net lending/borrowing,,,,,,,,,,,-3.933,-3.248,-2.259,-2.645,-2.605,-1.946,-2.216,-2.149,-0.502,-2.182,-2.455,-3.308,-3.529,-4.686,-3.884,-1.074,-2.18,1.263,0.374,-4.893,-9.661,-0.936,-2.51,-3.874,-3.207,-6.892,-0.147,-2.059,-1.063,-0.465,-4.256,-4.08
552,Guinea-Bissau,"Gross domestic product, constant prices",,-0.498,4.2,-3.4,5.5,4.3,-1,5.6,1.958,2.925,4.58,7.305,3.095,2.276,2.963,4.016,3.747,5.994,-22.446,16.815,1.1,4.786,3.654,-0.286,1.172,6.56,2.667,2.56,4.525,2.448,5.605,8.085,-1.713,3.256,0.965,6.134,5.307,4.789,3.8,4.6,-1.5,3.0
554,Guinea-Bissau,"Gross domestic product per capita, constant prices",,-2.544,2.057,-5.387,3.33,2.155,-3.036,3.58,-0.037,0.889,2.504,4.923,0.807,0.013,0.698,1.746,1.501,3.716,-24.101,14.338,-1.031,2.587,1.485,-2.374,-0.955,4.304,0.481,0.361,2.252,0.168,4.811,5.758,-3.829,1.033,-1.209,3.849,3.04,2.533,1.566,2.348,-3.62,0.783
556,Guinea-Bissau,"Inflation, end of period consumer prices",,27.04,20.184,46.25,94.642,54.101,78.517,96.877,50.32,66.839,32.138,60.099,86.697,30.7,19.277,49.669,65.59,16.738,7.936,-7.922,16.684,-1.888,2.519,0.727,2.887,0.301,3.197,9.293,8.68,-6.357,5.703,3.448,1.619,-0.094,-0.094,2.441,0.871,-0.483,2.398,-0.095,1.1,1.5
557,Guinea-Bissau,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Guinea-Bissau,General government net lending/borrowing,,,,,,,,,,,,1.607,-0.252,-0.338,-5.541,2.45,3.478,-2.556,-5.954,-4.065,-2.801,-1.826,-3.704,-5.628,-5.92,-4.96,-4.574,-8.774,-0.735,2.679,-0.225,-1.354,-2.123,-1.673,-2.436,-3.161,-5.341,-1.321,-4.844,-4.934,-4.089,-3.865
565,Guyana,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Guyana,General government net lending/borrowing,,,,,,,,,,,,,,,,,,-2.265,-3.535,-0.632,-3.026,-4.951,-3.244,-6.425,-3.812,-8.532,-8.022,-4.284,-3.595,-3.518,-2.732,-3.022,-4.639,-3.25,-5.433,-1.193,-4.275,-4.322,-3.543,-4.704,-0.28,-1.656
572,Haiti,"Inflation, end of period consumer prices",,,4.857,11.249,5.428,17.419,-11.351,-4.133,8.622,10.865,26.115,13.761,15.181,27.681,41.976,18.2,17.015,16.95,8.268,9.921,15.317,11.498,11.373,37.781,21.684,14.844,12.415,7.867,19.846,-4.681,4.665,10.381,6.536,4.539,5.344,11.277,12.495,15.376,13.255,20.095,23,20.0
573,Haiti,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Haiti,General government net lending/borrowing,,,,,,,,,,,,,,,,,,0.642,0.363,-2.66,-2.338,-2.725,-3.141,-3.646,-2.292,-1.382,-1.436,-2.5,-2.881,-3.516,-2.681,-2.474,-4.712,-7.009,-6.28,-2.503,0.026,0.268,-1.719,-2.368,-5.128,-3.012
582,Honduras,General government net lending/borrowing,,,,,,,,,,,-2.151,-2.156,-1.49,-5.209,-0.972,-0.244,0.127,0.08,2.893,1.381,1.508,-3.119,-5.015,-5.093,-2.475,-0.033,-1.355,-0.254,-0.267,-4.865,-3.371,-2.943,-3.483,-5.73,-2.897,-0.781,-0.397,-0.408,0.198,0.089,-0.031,-0.474
588,Hong Kong SAR,"Inflation, end of period consumer prices",,,10.526,10.623,5.298,3.145,4.268,7.602,8.152,10.05,11.416,9.836,9.701,9.014,9.516,6.98,6.658,5.243,-1.661,-4.101,-2.013,-3.594,-1.465,-1.892,0.413,1.235,2.304,3.841,2.041,1.625,2.829,5.742,3.733,4.253,4.916,2.995,2.411,1.481,2.408,2.865,2,2.5
590,Hong Kong SAR,General government net lending/borrowing,,2.8,-0.399,-1.11,0.892,1.012,1.753,3.041,3.316,2.011,0.642,3.127,2.625,1.994,1.011,-0.291,2.038,6.318,-1.801,0.762,-0.587,-4.836,-4.773,-3.172,1.605,0.971,3.833,7.336,0.086,1.532,4.136,3.77,3.143,1.008,3.592,0.595,4.388,5.492,2.35,-1.509,-6.946,0.013
596,Hungary,"Inflation, end of period consumer prices",,,,,,,,,,18.1,33.4,32.2,21.6,21.1,21.2,28.3,19.757,18.443,10.306,11.179,10.073,6.818,4.822,5.657,5.523,3.338,6.538,7.374,3.502,5.555,4.673,4.07,4.992,0.416,-0.927,0.889,1.844,2.14,2.749,4.033,2.988,3.092
598,Hungary,General government net lending/borrowing,,,,,,,,,,,,,,,,-8.603,-4.368,-5.527,-7.458,-5.137,-3.033,-4.054,-8.841,-7.118,-6.333,-7.788,-9.262,-5.032,-3.615,-4.554,-4.462,-5.242,-2.336,-2.603,-2.784,-2.014,-1.812,-2.456,-2.149,-2.048,-2.99,-1.616
613,India,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,India,General government net lending/borrowing,,,,,,,,,-6.89,-7.544,-7.93,-7.764,-7.757,-8.422,-7.859,-6.697,-6.59,-8.133,-9.574,-8.551,-8.264,-10.843,-10.881,-11.231,-9.062,-7.368,-6.321,-4.505,-8.982,-9.534,-8.626,-8.349,-7.55,-7.0,-7.071,-7.203,-7.118,-6.361,-6.27,-7.442,-7.422,-7.301
621,Indonesia,Unemployment rate,,,,,1.62,2.22,2.75,2.64,2.89,2.86,2.59,2.67,2.79,2.83,4.47,7.42,4.998,4.77,5.46,6.36,6.08,8.1,9.06,9.67,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.5,5.34,5.28,7.5,6.0
622,Indonesia,General government net lending/borrowing,,,,,,,,,,,,,,-0.589,0.005,0.641,0.962,-1.034,-1.893,-0.959,-1.87,-1.763,-0.576,-1.077,-0.26,0.424,0.372,-0.947,0.054,-1.644,-1.242,-0.703,-1.586,-2.217,-2.146,-2.604,-2.486,-2.509,-1.75,-2.229,-5.01,-3.978
628,Islamic Republic of Iran,"Inflation, end of period consumer prices",,,,,,,,,,,14.662,40,14.286,31.25,42.857,36.667,17.073,18.75,19.298,19.118,11.111,11.111,18.0,13.559,15.672,7.742,16.168,22.165,17.722,10.394,19.805,20.596,41.348,19.555,16.223,8.352,11.827,8.31,54.141,26.431,42,25.0
629,Islamic Republic of Iran,Unemployment rate,,,,,,,,,,,14.2,10,10.0,10.0,10.0,10.0,9.085,11.897,13.569,15.777,16.046,16.626,12.2,11.3,10.3,11.5,11.3,10.5,10.4,11.9,13.5,12.3,12.1,10.4,10.6,11.0,12.425,12.075,12.025,13.58,16.327,16.669
630,Islamic Republic of Iran,General government net lending/borrowing,,,,,,,,,,,-2.101,-2.016,-1.068,-6.224,-3.971,-3.19,-0.919,-2.19,-6.023,-0.617,6.632,1.008,0.477,1.175,3.379,3.575,1.874,6.468,0.588,0.799,2.647,0.607,-0.322,-0.898,-1.14,-1.763,-2.268,-1.817,-1.897,-5.593,-9.812,-7.715
632,Iraq,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,,,,24.752,-4.341,-6.569,-7.797,81.787,53.386,1.675,5.638,1.889,8.228,3.379,6.403,7.546,13.936,7.628,0.738,2.537,15.199,-2.495,-0.563,3.914,-4.723,7.195
633,Iraq,"Gross domestic product, current prices",,,,,,,,,,,,,,,,,,,80.378,101.721,99.48,94.983,88.963,164.727,259.469,272.033,296.068,309.763,341.771,356.014,383.222,420.752,488.584,535.081,549.008,568.795,662.032,657.673,669.906,708.265,679.098,742.149
634,Iraq,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,,,,,,,,,49.28,-0.938,3.052,-0.51,5.694,0.866,3.656,4.845,11.075,4.925,-3.816,1.918,12.153,-5.042,-3.131,1.281,-7.138,4.478
635,Iraq,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,,,,,36.959,53.248,30.821,2.668,-2.194,2.445,5.604,6.089,1.879,2.236,1.393,0.525,0.099,0.367,-0.199,0.8,1.0
636,Iraq,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,4.993,16.351,19.334,35.76,31.677,31.616,64.826,4.67,6.754,-4.415,3.312,6.02,3.614,3.132,1.587,2.31,-1.548,0.2,-0.096,0.096,1,1.0
637,Iraq,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Iraq,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,-35.398,4.069,10.711,7.837,-0.856,-12.752,-4.179,4.744,4.094,-6.062,-5.631,-12.823,-13.894,-1.619,7.893,-0.771,-22.298,-14.699
639,Iraq,Current account balance,,,,,,,,,,,,,,,,,,,,,,2.186,-2.036,-10.652,-24.047,8.688,3.232,-3.388,12.699,-11.522,1.636,10.879,5.058,1.143,2.602,-6.546,-8.27,1.82,6.921,-1.203,-21.664,-14.073
644,Ireland,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,0.408,0.271,0.27,0.943,4.806,4.331,4.518,3.037,2.381,1.993,3.04,3.267,1.327,-2.518,-0.207,1.449,1.735,0.301,-0.3,0.301,-0.2,0.501,0.798,0.0,1.492,1.8
645,Ireland,Unemployment rate,,,,,,17.7,18.1,18.8,18.4,17.9,17.2,19,16.3,16.7,15.1,14.1,11.8,9.858,7.55,5.825,4.483,4.183,4.733,4.842,4.733,4.633,4.775,5.008,6.8,12.617,14.592,15.417,15.5,13.775,11.9,9.95,8.392,6.733,5.75,4.992,12.109,7.866
646,Ireland,General government net lending/borrowing,,,,,,,,,,,,,,,,-2.112,-0.231,1.345,2.049,3.522,4.853,0.954,-0.526,0.34,1.294,1.566,2.769,0.263,-7.019,-13.826,-32.066,-12.847,-8.099,-6.181,-3.653,-1.951,-0.693,-0.305,0.052,0.302,-5.239,-0.76
654,Israel,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-0.95,-3.969,-8.273,-5.023,-3.516,-2.652,-0.941,-0.277,-3.395,-6.298,-3.485,-2.868,-4.286,-3.97,-2.273,-0.915,-1.398,-1.112,-3.621,-3.906,-10.211,-5.864
662,Italy,General government net lending/borrowing,,,,,,,,,-10.543,-10.909,-11.099,-11.041,-10.05,-9.716,-8.798,-7.21,-6.615,-2.982,-2.988,-1.773,-2.423,-3.19,-2.869,-3.218,-3.479,-4.083,-3.617,-1.34,-2.564,-5.121,-4.24,-3.593,-2.945,-2.854,-2.954,-2.552,-2.404,-2.445,-2.199,-1.639,-8.339,-3.474
669,Jamaica,Unemployment rate,27.262,25.941,27.577,26.378,25.512,25.01,23.654,20.968,19.089,15.2,15.7,15.4,15.7,16.3,15.4,16.2,16.0,16.5,15.5,15.7,15.5,15.0,14.2,11.8,12.2,11.225,10.325,9.85,10.575,11.35,12.375,12.4,13.925,15.275,13.75,13.5,13.2,11.65,9.125,,,
670,Jamaica,General government net lending/borrowing,,,,,,,,,,,2.116,3.226,2.908,2.428,2.459,1.574,-5.383,-6.555,-5.88,-3.503,-0.803,-4.894,-6.725,-5.565,-4.673,-3.306,-4.865,-3.799,-7.512,-11.125,-6.333,-6.403,-4.077,0.119,-0.496,-0.289,-0.194,0.453,1.181,0.17,-0.912,-0.16
